Rank,Artist,Song,Released,Decade,Artist ID,Genres,Popularity
22,The Ronettes,Be My Baby,1963,1960-1969,7CyeXFnOrfC1N6z4naIpgo,"brill building pop, classic girl group, motown, rock-and-roll",63
41,Joy Division,Love Will Tear Us Apart,1980,1980-1989,432R46LaYsJZV2Gmc4jUV5,"alternative rock, indie rock, madchester, new wave, post-punk, punk, rock, uk post-punk",63
81,The Velvet Underground,I'm Waiting for the Man,1967,1960-1969,1nJvji2KIlWSseXRSlNYsC,"alternative rock, melancholia, permanent wave, protopunk, rock",62
34,James Brown,Papa's Got A Brand New Bag,1966,1960-1969,7GaxyUddsPok8BuhxN6OUW,"funk, motown, soul, vocal jazz",62
26,Joni Mitchell,A Case of You,1971,1970-1979,5hW4L92KnC6dX9t7tYM4Ve,"canadian singer-songwriter, folk, folk rock, singer-songwriter",61
58,The Band,The Weight,1968,1960-1969,4vpDg7Y7fU982Ds30zawDA,"blues rock, classic canadian rock, classic rock, cosmic american, country rock, folk, folk rock, heartland rock, jam band, mellow gold, rock, roots rock, southern rock, swamp rock",61
51,Dionne Warwick,Walk on By,1964,1960-1969,2JSjCHK79gdaiPWdKiNUNp,"adult standards, brill building pop, disco, quiet storm, soft rock, soul, vocal jazz",61
87,LCD Soundsystem,All My Friends,2007,2000-2009,066X20Nz7iquqkkCW6Jxy6,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave",60
91,UGK feat. Outkast,Int'l Players Anthem (I Choose You),2007,2000-2009,6ZhjJOJXXwnPS8PrXdmjLw,dirty south rap,60
75,Pulp,Common People,1996,1990-1999,36E7oYfz3LLRto6l2WmDcD,"alternative rock, britpop, permanent wave, sheffield indie",59
92,Little Richard,"Good Golly, Miss Molly",1958,1960-1969,4xls23Ye9WR9yy3yYMpAMm,"blues, rock-and-roll, rockabilly, soul",58
57,Sly & The Family Stone,Family Affair,1971,1970-1979,5m8H6zSadhu1j9Yi04VLqD,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",57
2,Public Enemy,Fight the Power,1989,1980-1989,6Mo9PoU6svvhgEum7wh2Nd,"conscious hip hop, east coast hip hop, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, political hip hop",56
97,Patti Smith,Gloria,1975,1970-1979,0vYkHhJ48Bs3jWcvZXvOrP,"art punk, permanent wave, protopunk, singer-songwriter",56
54,Smokey Robinson and the Miracles,The Tracks of My Tears,1965,1960-1969,6TKOZZDd5uV5KnyC5G4MUt,"classic soul, disco, motown, quiet storm, soul",56
77,The Modern Lovers,Roadrunner,1976,1970-1979,2eRdPaLHWAL4d1WcNUO9Vz,"alternative rock, boston rock, experimental rock, garage rock, lo-fi, no wave",43
59,Grandmaster Flash & Melle Mel,The Message,1982,1980-1989,1teSGKe5F5NYYeuxtL65GQ,Unknown,6
