song,performer,song_id,time_on_chart,chart_debut,Artist ID,Genres,Popularity
How's It Going To Be,Third Eye Blind,How's It Going To BeThird Eye Blind,52,1997-12-06,6TcnmlCSxihzWOQJ8k0rNS,"alternative metal, alternative rock, pop rock, post-grunge",66
Truly Madly Deeply,Savage Garden,Truly Madly DeeplySavage Garden,52,1997-12-06,3NRFinRTEqUCfaTTZmk8ek,"boy band, dance pop, pop rock",65
Hanging By A Moment,Lifehouse,Hanging By A MomentLifehouse,54,2001-02-10,5PokPZn11xzZXyXSfnvIM3,"neo mellow, pop rock, post-grunge",64
You And Me,Lifehouse,You And MeLifehouse,62,2005-02-12,5PokPZn11xzZXyXSfnvIM3,"neo mellow, pop rock, post-grunge",64
How Do I Live,LeAnn Rimes,How Do I LiveLeAnn Rimes,69,1997-06-21,2d3VHzlOEwXvmBdS4pzOPL,"contemporary country, country, country dawn, country road",63
Unchained Melody,The Righteous Brothers,Unchained MelodyThe Righteous Brothers,57,1965-07-17,4b0WsB47XCa9F83BmwQ7WX,"adult standards, brill building pop, folk rock, mellow gold, rock-and-roll, rockabilly",63
The Way You Love Me,Faith Hill,The Way You Love MeFaith Hill,56,2000-03-11,25NQNriVT2YbSW80ILRWJa,"contemporary country, country, country dawn, country road",62
Sail,AWOLNATION,SailAWOLNATION,79,2011-09-03,4njdEjTnLfcGImKZu1iSrz,"la indie, modern alternative rock, modern rock, rock, stomp pop",62
Breathe,Faith Hill,BreatheFaith Hill,53,1999-11-06,25NQNriVT2YbSW80ILRWJa,"contemporary country, country, country dawn, country road",62
I Hope,Gabby Barrett Featuring Charlie Puth,I HopeGabby Barrett Featuring Charlie Puth,62,2020-01-11,6Iz3eq2aQGFf7TbGT2iahL,contemporary country,61
Smooth,Santana Featuring Rob Thomas,SmoothSantana Featuring Rob Thomas,58,1999-07-31,3aBkeBhwadnWMWoVJ2CxJC,"neo mellow, pop rock, post-grunge",61
Amazed,Lonestar,AmazedLonestar,55,1999-06-05,3qbnxnvUqR14MJ9g8QwZJK,"contemporary country, country, country road",58
Missing,Everything But The Girl,MissingEverything But The Girl,55,1995-08-12,13ccXrK7AmXb4TddMkE7jy,"new wave pop, sophisti-pop, trip hop",58
Macarena (Bayside Boys Mix),Los Del Rio,Macarena (Bayside Boys Mix)Los Del Rio,60,1995-09-02,2JXn03fudjyRkQ1Ye9f5rk,tropical,58
Foolish Games/You Were Meant For Me,Jewel,Foolish Games/You Were Meant For MeJewel,65,1996-11-30,6FbDoZnMBTdhhhLuJBOOqP,"alaska indie, ectofolk, lilith, permanent wave, pop rock, singer-songwriter",57
Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,59,1960-12-10,4cPHsZM98sKzmV26wlwD2W,"adult standards, lounge, rockabilly",56
If I Die Young,The Band Perry,If I Die YoungThe Band Perry,53,2010-07-24,75FnCoo4FBxH5K1Rrx0k5A,"contemporary country, country, country dawn, country road",55
Too Close,Next,Too CloseNext,53,1998-02-14,2MGT7CYlixSPxAnnkhLpaA,"boy band, contemporary r&b, minneapolis sound, new jack swing, r&b, urban contemporary",55
I Don't Want To Wait,Paula Cole,I Don't Want To WaitPaula Cole,56,1997-11-01,08DLZqQd6XDAVteF9nSEJ1,"ectofolk, lilith, new wave pop, pop rock",48
Jingle Bell Rock,Bobby Helms,Jingle Bell RockBobby Helms,57,1958-12-20,38EmEgXkgK51MT2tPY0EoC,Unknown,46
Barely Breathing,Duncan Sheik,Barely BreathingDuncan Sheik,55,1996-11-30,3AO6RTDA16mg8czQI5Y9K0,pop rock,46
